"135241","013","Moszkowski",".41"
"135242","013","Paderewski",".41"
"135243","013","Reger",".39"
"135244","013","Dohnányi",".39"
"135245","013","Balakirev",".36"
"135246","013","Tárrega",".34"
"135247","013","Raff",".33"
"135248","013","Nielsen",".33"
"135249","013","Saint-Saëns",".33"
"135250","013","Franck",".33"
"135251","013","Rheinberger",".32"
"135252","013","MacDowell",".32"
"135253","013","Medtner",".32"
"135254","013","C Schumann",".32"
"135255","013","Fauré",".31"
"135256","014","Alkan",".46"
"135257","014","Liszt",".42"
"135258","014","Field",".39"
"135259","014","Czerny",".38"
"135260","014","R Schumann",".37"
"135261","014","Wagner",".32"
"135262","014","Berwald",".32"
"135263","014","Glinka",".31"
"135264","014","Meyerbeer",".29"
"135265","014","Nicolai",".29"
"135266","014","Thomas",".29"
"135267","014","Busoni",".29"
"135268","014","Franck",".28"
"135269","014","Mendelssohn-Hensel",".28"
"135270","014","Mendelssohn",".27"
"135271","015","Dussek",".47"
"135272","015","Reicha",".44"
"135273","015","Méhul",".43"
"135274","015","Field",".41"
"135275","015","Carulli",".40"
"135276","015","Mayr",".36"
"135277","015","Czerny",".35"
"135278","015","Loewe",".35"
"135279","015","Viotti",".34"
"135280","015","Boyce",".34"
"135281","015","Krommer",".32"
"135282","015","Soler",".32"
"135283","015","Mendelssohn-Hensel",".31"
"135284","015","Sor",".31"
"135285","015","Mendelssohn",".30"
"135286","016","Koechlin",".38"
"135287","016","Walker",".37"
"135288","016","Jongen",".33"
"135289","016","Kraft",".32"
"135290","016","Carpenter",".32"
"135291","016","Duruflé",".32"
"135292","016","Howells",".32"
"135293","016","Tailleferre",".31"
"135294","016","Rubbra",".31"
"135295","016","Dello Joio",".31"
"135296","016","Piazzolla",".30"
"135297","016","Lutoslawski",".30"
"135298","016","Hanson",".30"
"135299","016","Schickele",".30"
"135300","016","Alwyn",".30"
"135301","017","Boulez",".51"
"135302","017","Stockhausen",".42"
"135303","017","Carter",".35"
"135304","017","Crawford",".35"
"135305","017","Babbitt",".35"
"135306","017","Cage",".32"
"135307","017","Wolpe",".32"
"135308","017","Ginastera",".31"
"135309","017","Rochberg",".31"
"135310","017","Berio",".31"
"135311","017","Henze",".31"
"135312","017","Xenakis",".30"
"135313","017","Sculthorpe",".29"
"135314","017","Ligeti",".29"
"135315","017","Rihm",".29"
"135316","018","Alkan",".41"
"135317","018","Dussek",".41"
"135318","018","Chopin",".38"
"135319","018","Giuliani",".35"
"135320","018","Kuhlau",".35"
"135321","018","Clementi",".35"
"135322","018","Field",".35"
"135323","018","Liszt",".31"
"135324","018","Hummel",".28"
"135325","018","Brahms",".28"
"135326","018","Krommer",".27"
"135327","018","Mendelssohn-Hensel",".26"
"135328","018","R Schumann",".26"
"135329","018","Busoni",".26"
"135330","018","C Schumann",".26"
"135331","019","Krenek",".46"
"135332","019","Kurtág",".43"
"135333","019","Kokkonen",".41"
"135334","019","Birtwistle",".38"
"135335","019","Rochberg",".37"
"135336","019","Perle",".35"
"135337","019","Harris",".34"
"135338","019","Wolpe",".33"
"135339","019","Toch",".33"
"135340","019","Schnittke",".32"
"135341","019","Henze",".32"
"135342","019","Orff",".31"
"135343","019","Riegger",".31"
"135344","019","Leighton",".30"
"135345","019","Ligeti",".30"
"135346","020","Ravel",".52"
"135347","020","Granados",".41"
"135348","020","Roussel",".39"
"135349","020","Fauré",".39"
"135350","020","Koechlin",".39"
"135351","020","Duparc",".35"
"135352","020","Chausson",".33"
"135353","020","Dukas",".33"
"135354","020","Schmitt",".33"
"135355","020","Falla",".33"
"135356","020","Chaminade",".31"
"135357","020","Rachmaninov",".30"
"135358","020","Borodin",".30"
"135359","020","Prokofiev",".29"
"135360","020","Ibert",".29"
"135361","021","Dupré",".53"
"135362","021","Langlais",".49"
"135363","021","Vierne",".46"
"135364","021","Howells",".42"
"135365","021","Jongen",".41"
"135366","021","Rutter",".36"
"135367","021","Alain",".35"
"135368","021","Widor",".35"
"135369","021","Tournemire",".35"
"135370","021","Boulanger",".34"
"135371","021","Koechlin",".33"
"135372","021","Creston",".32"
"135373","021","Martin",".32"
"135374","021","Honegger",".31"
"135375","021","Rorem",".31"
"135376","022","Duruflé",".53"
"135377","022","Vierne",".53"
"135378","022","Widor",".47"
"135379","022","Tournemire",".47"
"135380","022","Guilmant",".40"
"135381","022","Langlais",".40"
"135382","022","Jongen",".31"
"135383","022","Boulanger",".30"
"135384","022","Alain",".28"
"135385","022","Sowerby",".25"
"135386","022","Alkan",".22"
"135387","022","Indy",".20"
"135388","022","Rheinberger",".20"
"135389","022","Enescu",".19"
"135390","022","Rihm",".18"
"135391","023","Schmitt",".46"
"135392","023","Chausson",".46"
"135393","023","Dohnányi",".38"
"135394","023","Karg-Elert",".37"
"135395","023","Jongen",".36"
"135396","023","Tournemire",".36"
"135397","023","Bridge",".35"
"135398","023","Bartók",".35"
"135399","023","Pierné",".35"
"135400","023","Koechlin",".34"
"135401","023","Tailleferre",".34"
"135402","023","Indy",".32"
"135403","023","Parry",".31"
"135404","023","Guilmant",".31"
"135405","023","Duparc",".31"
"135406","024","Ravel",".46"
"135407","024","Reger",".41"
"135408","024","Grieg",".40"
"135409","024","Chaminade",".40"
"135410","024","Debussy",".39"
"135411","024","Brahms",".39"
"135412","024","Franck",".38"
"135413","024","Moszkowski",".36"
"135414","024","Saint-Saëns",".34"
"135415","024","R Schumann",".33"
"135416","024","Granados",".33"
"135417","024","Rheinberger",".32"
"135418","024","Barber",".32"
"135419","024","Tchaikovsky",".31"
"135420","024","Busoni",".31"
"135421","025","Howells",".37"
"135422","025","Vaughan Williams",".36"
"135423","025","Grainger",".32"
"135424","025","Moeran",".28"
"135425","025","Hanson",".28"
"135426","025","Butterworth",".27"
"135427","025","Warlock",".26"
"135428","025","Canteloube",".26"
"135429","025","Walton",".24"
"135430","025","Rubbra",".23"
"135431","025","Britten",".22"
"135432","025","Alwyn",".22"
"135433","025","Barber",".22"
"135434","025","Schoenberg",".21"
"135435","025","Thompson",".21"
"135436","026","Persichetti",".44"
"135437","026","Walker",".39"
"135438","026","Holmboe",".39"
"135439","026","Fine",".38"
"135440","026","Petrassi",".35"
"135441","026","Wolpe",".34"
"135442","026","Nyman",".34"
"135443","026","Rubbra",".33"
"135444","026","Rochberg",".33"
"135445","026","Skalkottas",".32"
"135446","026","Musgrave",".32"
"135447","026","Piazzolla",".32"
"135448","026","Lutoslawski",".31"
"135449","026","Blacher",".31"
"135450","026","Schickele",".31"
"135451","027","Auber",".45"
"135452","027","Krommer",".43"
"135453","027","Boieldieu",".43"
"135454","027","Nicolai",".41"
"135455","027","Danzi",".40"
"135456","027","Dussek",".38"
"135457","027","Spontini",".38"
"135458","027","Spohr",".37"
"135459","027","Mayr",".36"
"135460","027","Donizetti",".35"
"135461","027","Czerny",".35"
"135462","027","Glinka",".35"
"135463","027","Méhul",".34"
"135464","027","Hummel",".33"
"135465","027","Wagner",".33"
"135466","028","Loewe",".64"
"135467","028","Goldmark",".45"
"135468","028","Mendelssohn-Hensel",".43"
"135469","028","C Schumann",".40"
"135470","028","Mahler",".36"
"135471","028","Reinecke",".36"
"135472","028","Bruch",".35"
"135473","028","Rheinberger",".34"
"135474","028","Brahms",".32"
"135475","028","Sullivan",".32"
"135476","028","Guilmant",".32"
"135477","028","Parry",".32"
"135478","028","Wolf",".31"
"135479","028","Gade",".31"
"135480","028","Gounod",".30"
