"106012","002","Prokofiev","++",,
"106013","002","Ravel","++","?",
"106014","002","Reger","++",,
"106015","002","Reicha",,,
"106016","002","Reinecke",,"?",
"106017","002","Rheinberger","+",,
"106018","002","Rihm","+++",,
"106019","002","Rochberg","++",,
"106020","002","Rossini",,,
"106021","002","Rubbra","++","?",
"106022","002","Rubinstein","+",,
"106023","002","SaintSaëns","+",,
"106024","002","Schoenberg","++",,
"106025","002","SCHUBERT",,,
"106026","002","Schuman","++","?",
"106027","002","C Schumann",,,
"106028","002","R Schumann",,,
"106029","002","Shostakovich","++",,
"106030","002","Sibelius","++",,
"106031","002","Smetana",,,
"106032","002","Spohr",,,
"106033","002","Stenhammar","++",,
"106034","002","Stravinsky","++",,
"106035","002","Sullivan","+",,
"106036","002","Svendsen","+",,
"106037","002","Taneyev","++",,
"106038","002","Tárrega","+",,
"106039","002","Tchaikovsky","+",,
"106040","002","Tippett","++",,
"106041","002","Tournemire","++","?",
"106042","002","Tower","+++",,
"106043","002","Verdi",,,
"106044","002","Vieuxtemps",,,
"106045","002","WAGNER",,,
"106046","002","Weber",,"?",
"106047","002","Webern","++",,
"106048","002","Wolf","++",,
"106049","002","Zwilich","+++",,
"106050","003","Debussy",,,
"106051","004","Andriessen","+++",,
"106052","004","JC BACH",,,
"106053","004","Beethoven",,,
"106054","004","G Benda",,,
"106055","004","Clementi",,,
"106056","004","Dussek",,"?",
"106057","004","J HAYDN",,,
"106058","004","Hummel",,,
"106059","004","Mendelssohn","+",,
"106060","004","Mozart",,,
"106061","004","Weber",,"?",
"106062","005","Arne","-",,
"106063","005","Boyce","-","?",
"106064","005","Clementi",,,
"106065","005","MOZART",,,
"106066","006","none",,,
"106067","007","Arnold",,,
"106068","007","Badings",,,
"106069","007","E Bergman",,,
"106070","007","Berio",,,
"106071","007","Blacher",,,
"106072","007","Boulez",,,
"106073","007","Bridge","-",,
"106074","007","Brouwer",,,
"106075","007","Britten",,,
"106076","007","Carter",,,
"106077","007","Casella",,,
"106078","007","Copland",,,
"106079","007","Crawford",,,
"106080","007","CRUMB",,,
"106081","007","Dutilleux",,,
"106082","007","Foss",,"?",
"106083","007","Gerhard",,,
"106084","007","Ginastera",,,
"106085","007","Górecki",,,
"106086","007","Gubaidulina",,,
"106087","007","KA Hartmann",,,
"106088","007","Henze",,,
"106089","007","Hindemith",,"?",
"106090","007","HOLMBOE",,,
"106091","007","Husa",,,
"106092","007","Ibert",,"?",
"106093","007","Ireland","-",,
"106094","007","Jolivet",,,
"106095","007","L Kirchner",,,
"106096","007","Kodály",,,
"106097","007","Kokkonen",,,
"106098","007","Krenek",,,
"106099","007","KURTÁG",,,
"106100","007","Leighton",,,
"106101","007","LIGETI",,,
"106102","007","LUTOSLAWSKI",,,
"106103","007","Maderna",,,
"106104","007","Martin",,,
"106105","007","Messiaen",,,
"106106","007","Monk",,,
"106107","007","Moore",,"?",
"106108","007","Moreno Torróba",,,
"106109","007","Musgrave",,,
"106110","007","Nørgård",,,
"106111","007","Nyman",,,
"106112","007","Penderecki",,,
"106113","007","Perle",,,
"106114","007","Persichetti",,,
"106115","007","Petrassi",,,
"106116","007","Piazzolla",,,
"106117","007","Poulenc",,,
"106118","007","Rautavaara",,,
"106119","007","Reich",,,
"106120","007","Revueltas",,,
"106121","007","Rochberg",,,
"106122","007","Rubbra",,,
"106123","007","Schulhoff",,"?",
"106124","007","Sculthorpe",,,
"106125","007","Shostakovich",,"?",
"106126","007","Stockhausen",,,
"106127","007","Szymanowski",,,
"106128","007","Tan","+",,
"106129","007","Tippett",,,
"106130","007","Tubin",,,
"106131","007","Warlock",,,
"106132","007","Wolpe",,,
"106133","007","Xenakis",,,
"106134","007","Zwilich",,,
"106135","008","Andriessen",,,
"106136","008","Bolcom",,,
"106137","008","Crumb",,"?",
"106138","009","none",,,
"106139","010","Clarke",,,
"106140","010","Sessions",,,
"106141","010","Pizzetti",,,
"106142","010","Sculthorpe",,,
"106143","010","Thompson",,,
"106144","011","Alfvén",,,
"106145","011","Barber","+",,
"106146","011","Bartók",,,
"106147","011","Beach",,,
"106148","011","Berg",,,
"106149","011","Bridge",,,
"106150","011","Bruch",,,
"106151","011","Busoni",,,
"106152","011","Butterworth",,"?",
"106153","011","Chadwick",,,
"106154","011","Chaminade",,"?",
"106155","011","Chausson",,,
"106156","011","Chávez","+",,
"106157","011","Clarke",,,
"106158","011","ColeridgeTaylor","-",,
"106159","011","DOHNÁNYI",,,
"106160","011","Dvorák",,,
"106161","011","Elgar",,,
"106162","011","Enescu",,,
"106163","011","Fibich",,,
"106164","011","Foote",,,
"106165","011","Glazunov",,,
"106166","011","Goldmark","-","?",
"106167","011","Griffes",,,
"106168","011","Hindemith",,,
"106169","011","Howells",,"?",
"106170","011","Humperdinck",,"?",
"106171","011","Ireland",,,
"106172","011","Ives",,,
"106173","011","Kagel","++","?",
"106174","011","KargElert","-",,
"106175","011","Kodály",,,
"106176","011","Kokkonen","+",,
"106177","011","Mahler",,,
"106178","011","Medtner",,,
"106179","011","Nielsen",,,
"106180","011","Novák",,"?",
"106181","011","PARRY",,,
"106182","011","Pfitzner",,,
"106183","011","REGER",,,
"106184","011","Reinecke","-",,
"106185","011","Rheinberger",,,
"106186","011","Rochberg",,,
"106187","011","Rubbra",,,
"106188","011","F Schmidt",,,
"106189","011","Schoenberg",,,
"106190","011","Schreker",,,
"106191","011","C Schumann","-",,
"106192","011","Shostakovich","+","?",
"106193","011","Sinding",,,
"106194","011","STANFORD",,,
"106195","011","Stenhammar",,,
"106196","011","R Strauss",,,
"106197","011","Suk",,,
"106198","011","Szymanowski",,,
"106199","011","Taneyev",,"?",
"106200","011","Toch",,,
"106201","011","Webern",,,
"106202","011","WolfFerrari","-",,
"106203","011","Zemlinsky",,,
"106204","012","Badings","+",,
"106205","012","KA Hartmann","+",,
"106206","012","Kreisler",,"?",
"106207","012","Mahler",,,
"106208","012","Penderecki","++",,
"106209","012","F Schmidt",,,
"106210","012","Schoenberg",,,
"106211","012","Shostakovich","+","?",
"106212","012","Sibelius",,,
"106213","012","Stenhammar",,,
"106214","012","R Strauss",,"?",
"106215","012","Wolf",,,
"106216","013","Casella",,,
"106217","013","Dallapiccola",,,
"106218","013","Grainger",,,
"106219","013","Gubaidulina","+",,
"106220","013","A Hába",,,
"106221","013","Hindemith",,"?",
"106222","013","Krenek",,,
"106223","013","LUENING",,,
"106224","013","Malipiero",,"?",
"106225","013","Scelsi",,"?",
"106226","013","Schoenberg",,"?",
"106227","013","Sibelius","-",,
"106228","013","Skalkottas",,,
"106229","013","Toch",,"?",
"106230","013","Varèse",,,
"106231","013","Weill",,,
"106232","013","Wolpe",,,
"106233","014","Albéniz","+",,
"106234","014","ALKAN",,,
"106235","014","Arensky","+",,
"106236","014","Balakirev",,,
"106237","014","Barrios","++",,
"106238","014","Beach","+",,
"106239","014","Berkeley","++",,
"106240","014","Bizet",,,
"106241","014","Bolcom","++",,
"106242","014","Borodin",,,
"106243","014","Bottesini",,,
"106244","014","Brahms",,,
"106245","014","Bridge","++",,
"106246","014","Busoni","+","?",
"106247","014","Chabrier",,,
"106248","014","Chaminade","+",,
"106249","014","Chávez","++",,
"106250","014","Creston","++",,
"106251","014","Crumb","++",,
"106252","014","Cui",,,
"106253","014","Debussy","+",,
"106254","014","Delius","+",,
"106255","014","Dohnányi","++",,
"106256","014","Duparc",,"?",
"106257","014","Dvorák",,,
"106258","014","Falla","++",,
"106259","014","Fauré",,,
"106260","014","Foote","+",,
"106261","014","Franck",,,
"106262","014","Gade",,"?",
"106263","014","Glazunov","+",,
"106264","014","Glière","++",,
"106265","014","Glinka","-",,
"106266","014","Górecki","++","?",
"106267","014","Gottschalk",,,
"106268","014","Granados","+",,
"106269","014","Grieg",,,
"106270","014","Guarnieri","++",,
"106271","014","Guilmant",,"?",
"106272","014","F Hiller",,,
"106273","014","Koechlin","+",,
"106274","014","Liszt",,,
"106275","014","Luening","++","?",
"106276","014","Lutoslawski","++",,
"106277","014","Lyadov","+",,
"106278","014","Mahler","+",,
"106279","014","Medtner","++",,
"106280","014","Mompou","++",,
"106281","014","Moszkowski","+",,
"106282","014","E Nazareth","+",,
