"89283","014","D Scarlatti","--",
"89284","014","Spohr",,
"89285","014","Weber",,
"89286","014","folk & dance music",,
"89287","015","CPE Bach",,
"89288","015","JC Bach",,
"89289","015","JS Bach","-",
"89290","015","Beethoven","+","?"
"89291","015","Handel",,
"89292","015","J Haydn",,
"89293","015","Mozart","+",
"89294","015","D Scarlatti",,
"89295","016","JS Bach","-",
"89296","016","Chopin","--",
"89297","016","Debussy",,
"89298","016","Hindemith",,"?"
"89299","016","Ravel",,
"89300","016","D Scarlatti","-",
"89301","016","Stravinsky",,
"89302","016","Vaughan Williams",,"?"
"89303","016","Gregorian chant",,
"89304","016","popular song & dance",,
"89305","017","JS Bach","-",
"89306","017","BARTÓK",,
"89307","017","Berg",,
"89308","017","Berio",,"?"
"89309","017","Cage",,
"89310","017","Chopin","--",
"89311","017","Cowell",,
"89312","017","DEBUSSY","-",
"89313","017","Finney",,
"89314","017","Hindemith",,
"89315","017","Ives",,
"89316","017","Mahler","-",
"89317","017","Messiaen",,
"89318","017","Schoenberg",,
"89319","017","Schubert","-",
"89320","017","Varèse",,
"89321","017","Webern",,
"89322","018","JS Bach","--",
"89323","018","BEETHOVEN",,
"89324","018","Clementi",,
"89325","018","Hummel",,
"89326","018","Mozart",,
"89327","018","Paganini",,"?"
"89328","018","D Scarlatti","--",
"89329","018","Schubert","+",
"89330","019","JS Bach","-",
"89331","019","Berg",,
"89332","019","Mahler","-",
"89333","019","Messiaen",,
"89334","019","Monteverdi","-",
"89335","019","Petrassi",,
"89336","019","Schoenberg",,
"89337","019","Sibelius",,
"89338","019","Stockhausen",,
"89339","019","Taverner","-",
"89340","019","Webern",,
"89341","019","Medieval music",,
"89342","019","English Renaissance & Baroque music",,
"89343","019","plainchant",,
"89344","020","Albéniz",,
"89345","020","Alkan",,
"89346","020","JS Bach","-",
"89347","020","Borodin",,
"89348","020","Chabrier",,
"89349","020","Chausson",,
"89350","020","Chopin","-",
"89351","020","F Couperin","-",
"89352","020","Delibes",,
"89353","020","Dukas","+",
"89354","020","Fauré",,
"89355","020","Franck",,
"89356","020","Gounod",,
"89357","020","Grieg",,
"89358","020","Joplin","+","?"
"89359","020","Lalo",,
"89360","020","Liszt",,
"89361","020","Massenet",,
"89362","020","Mussorgsky",,
"89363","020","Rameau","--",
"89364","020","Ravel","+",
"89365","020","RimskyKorsakov","-",
"89366","020","Satie","+",
"89367","020","R Schumann","-","?"
"89368","020","Tchaikovsky",,
"89369","020","Wagner",,
"89370","020","gamelan & other East Asian music",,
"89371","020","French Renaissance music",,
"89372","021","JS Bach","-",
"89373","021","Debussy",,
"89374","021","Dukas",,
"89375","021","Fauré",,
"89376","021","RAVEL",,
"89377","021","Tournemire",,
"89378","021","Vierne",,
"89379","021","Gregorian chant",,
"89380","022","JS Bach","-",
"89381","022","Franck",,
"89382","022","Guilmant",,
"89383","022","Tournemire",,
"89384","022","VIERNE",,
"89385","022","WIDOR",,
"89386","023","JS Bach","-",
"89387","023","Beethoven","--",
"89388","023","Berlioz","-",
"89389","023","Brahms",,
"89390","023","Debussy",,
"89391","023","Fauré",,
"89392","023","Franck",,
"89393","023","Liszt",,"?"
"89394","023","Massenet",,
"89395","023","Ravel",,
"89396","023","Reger",,"?"
"89397","023","Schoenberg",,"?"
"89398","023","Wagner",,
"89399","023","Romanian folk music",,
"89400","024","JS Bach","--",
"89401","024","Chopin",,
"89402","024","Gounod",,
"89403","024","Liszt",,
"89404","024","Mendelssohn",,
"89405","024","Mozart","--",
"89406","024","SAINTSAËNS","-",
"89407","024","R Schumann",,
"89408","024","Renaissance, Baroque & Classical music",,
"89409","025","JS Bach","-",
"89410","025","Bliss",,"?"
"89411","025","Elgar",,
"89412","025","Holst",,"?"
"89413","025","Parry",,
"89414","025","Vaughan Williams",,
"89415","025","Walton","+",
